0, -1983, -1663, 631, -18, 2, -10, -16511, 806, -1208, 6290, 5, 0, 14932, T:04401.000N:3158.72345E:11850.55217
1, -1959, -1703, 633, -18, 2, -10, -16519, 831, -1207, 6423, 2, 0, -1
2, -1991, -1671, 635, -17, 1, -10, -16506, 798, -1196, 6940, 3, 0, -1
3, -1975, -1631, 633, -18, 2, -11, -16529, 813, -1189, 6463, 1, 0, -1
4, -1991, -1655, 635, -18, 3, -10, -16537, 849, -1181, 6170, 2, 0, -1
5, -1991, -1655, 635, -18, 3, -10, -16537, 849, -1181, 6170, 4, 0, -1
6, -1999, -1671, 635, -18, 4, -10, -16518, 813, -1156, 6382, 6, 20, -1
7, -1999, -1639, 633, -18, 2, -10, -16529, 814, -1182, 6319, 6, 0, -1
8, -1959, -1655, 635, -18, 2, -11, -16538, 811, -1165, 6266, 4, 0, -1
9, -1999, -1647, 631, -20, 2, -12, -16532, 831, -1219, 6341, 2, 0, -1
10, -1983, -1639, 635, -18, 2, -11, -16540, 808, -1202, 6271, 2, 0, -1
11, -1983, -1663, 631, -18, 2, -10, -16511, 806, -1208, 6290, 6, 0, 14932, T:04401.000N:3158.72345E:11850.55217
12, -1959, -1703, 633, -18, 2, -10, -16519, 831, -1207, 6423, 2, 0, -1
13, -1991, -1671, 635, -17, 1, -10, -16506, 798, -1196, 6940, 2, 0, -1
14, -1991, -1655, 635, -18, 3, -10, -16537, 849, -1181, 6170, 1, 0, -1
15, -1991, -1655, 635, -18, 3, -10, -16537, 849, -1181, 6170, 1, 0, -1
16, -1999, -1671, 635, -18, 4, -10, -16518, 813, -1156, 6382, 3, 20, -1
17, -1999, -1639, 633, -18, 2, -10, -16529, 814, -1182, 6319, 4, 0, -1
18, -1959, -1655, 635, -18, 2, -11, -16538, 811, -1165, 6266, 4, 0, -1
19, -1999, -1647, 631, -20, 2, -12, -16532, 831, -1219, 6341, 2, 0, -1
20, -1983, -1639, 635, -18, 2, -11, -16540, 808, -1202, 6271, 2, 0, -1
21, -1959, -1703, 633, -18, 2, -10, -16519, 831, -1207, 6423, 5, 0, -1
22, -1991, -1671, 635, -17, 1, -10, -16506, 798, -1196, 6940, 5, 0, -1
23, -1975, -1631, 633, -18, 2, -11, -16529, 813, -1189, 6463, 6, 0, -1
24, -1991, -1655, 635, -18, 3, -10, -16537, 849, -1181, 6170, 6, 0, -1
25, -1991, -1655, 635, -18, 3, -10, -16537, 849, -1181, 6170, 1, 0, -1
26, -1999, -1671, 635, -18, 4, -10, -16518, 813, -1156, 6382, 3, 20, -1
27, -1999, -1639, 633, -18, 2, -10, -16529, 814, -1182, 6319, 6, 0, -1
28, -1959, -1655, 635, -18, 2, -11, -16538, 811, -1165, 6266, 6, 0, -1
29, -1999, -1647, 631, -20, 2, -12, -16532, 831, -1219, 6341, 2, 0, -1
30, -1983, -1639, 635, -18, 2, -11, -16540, 808, -1202, 6271, 2, 0, -1
31, -1959, -1703, 633, -18, 2, -10, -16519, 831, -1207, 6423, 4, 0, -1
32, -1991, -1671, 635, -17, 1, -10, -16506, 798, -1196, 6940, 1, 0, -1
33, -1975, -1631, 633, -18, 2, -11, -16529, 813, -1189, 6463, 1, 0, -1
34, -1991, -1655, 635, -18, 3, -10, -16537, 849, -1181, 6170, 4, 0, -1
35, -1991, -1655, 635, -18, 3, -10, -16537, 849, -1181, 6170, 1, 0, -1
36, -1999, -1671, 635, -18, 4, -10, -16518, 813, -1156, 6382, 5, 20, -1
37, -1999, -1639, 633, -18, 2, -10, -16529, 814, -1182, 6319, 4, 0, -1
38, -1959, -1655, 635, -18, 2, -11, -16538, 811, -1165, 6266, 4, 0, -1
39, -1999, -1647, 631, -20, 2, -12, -16532, 831, -1219, 6341, 6, 0, -1
40, -1983, -1639, 635, -18, 2, -11, -16540, 808, -1202, 6271, 3, 0, -1
41, -1959, -1703, 633, -18, 2, -10, -16519, 831, -1207, 6423, 4, 0, -1
42, -1991, -1671, 635, -17, 1, -10, -16506, 798, -1196, 6940, 1, 0, -1
43, -1975, -1631, 633, -18, 2, -11, -16529, 813, -1189, 6463, 2, 0, -1
44, -1991, -1655, 635, -18, 3, -10, -16537, 849, -1181, 6170, 1, 0, -1
45, -1991, -1655, 635, -18, 3, -10, -16537, 849, -1181, 6170, 2, 0, -1
46, -1999, -1671, 635, -18, 4, -10, -16518, 813, -1156, 6382, 3, 20, -1
47, -1999, -1639, 633, -18, 2, -10, -16529, 814, -1182, 6319, 3, 0, -1
48, -1959, -1655, 635, -18, 2, -11, -16538, 811, -1165, 6266, 5, 0, -1
49, -1999, -1647, 631, -20, 2, -12, -16532, 831, -1219, 6341, 1, 0, -1
50, -1983, -1639, 635, -18, 2, -11, -16540, 808, -1202, 6271, 2, 0, -1
